
running 1 test
Testing lock-free map
Insert heavy
25165824 operations across 117 thread(s) in 596.120334ms; time/op = 23ns
25165824 operations across 118 thread(s) in 541.767643ms; time/op = 21ns
25165824 operations across 119 thread(s) in 620.365614ms; time/op = 24ns
25165824 operations across 120 thread(s) in 1.351237626s; time/op = 52ns
25165824 operations across 121 thread(s) in 528.994213ms; time/op = 21ns
25165824 operations across 122 thread(s) in 564.488289ms; time/op = 22ns
25165824 operations across 123 thread(s) in 493.62897ms; time/op = 19ns
25165824 operations across 124 thread(s) in 545.257741ms; time/op = 21ns
25165824 operations across 125 thread(s) in 603.745301ms; time/op = 23ns
25165824 operations across 126 thread(s) in 571.50223ms; time/op = 22ns
25165824 operations across 127 thread(s) in 589.457958ms; time/op = 23ns
25165824 operations across 128 thread(s) in 599.348919ms; time/op = 23ns
Uniform
25165824 operations across 1 thread(s) in 32.213483649s; time/op = 1.279µs
25165824 operations across 2 thread(s) in 18.766546522s; time/op = 745ns
25165824 operations across 3 thread(s) in 12.777709636s; time/op = 506ns
25165824 operations across 4 thread(s) in 9.967759217s; time/op = 395ns
25165824 operations across 5 thread(s) in 8.323995238s; time/op = 329ns
25165824 operations across 6 thread(s) in 6.960547219s; time/op = 276ns
25165824 operations across 7 thread(s) in 6.058277084s; time/op = 240ns
25165824 operations across 8 thread(s) in 5.7260136s; time/op = 226ns
25165824 operations across 9 thread(s) in 5.36114909s; time/op = 212ns
25165824 operations across 10 thread(s) in 5.049568801s; time/op = 199ns
25165824 operations across 11 thread(s) in 4.654688292s; time/op = 184ns
25165824 operations across 12 thread(s) in 4.569855011s; time/op = 180ns
25165824 operations across 13 thread(s) in 4.293316955s; time/op = 169ns
25165824 operations across 14 thread(s) in 4.165868685s; time/op = 164ns
25165824 operations across 15 thread(s) in 3.970743532s; time/op = 157ns
25165824 operations across 16 thread(s) in 3.86140964s; time/op = 153ns
25165824 operations across 17 thread(s) in 4.392491797s; time/op = 173ns
25165824 operations across 18 thread(s) in 3.570332386s; time/op = 141ns
25165824 operations across 19 thread(s) in 3.471399859s; time/op = 137ns
25165824 operations across 20 thread(s) in 3.364343634s; time/op = 133ns
25165824 operations across 21 thread(s) in 3.234935488s; time/op = 128ns
25165824 operations across 22 thread(s) in 3.056644234s; time/op = 121ns
25165824 operations across 23 thread(s) in 3.039662477s; time/op = 120ns
25165824 operations across 24 thread(s) in 2.963909464s; time/op = 117ns
25165824 operations across 25 thread(s) in 3.003074461s; time/op = 119ns
25165824 operations across 26 thread(s) in 2.77333748s; time/op = 109ns
25165824 operations across 27 thread(s) in 2.758319577s; time/op = 109ns
25165824 operations across 28 thread(s) in 2.690537845s; time/op = 106ns
25165824 operations across 29 thread(s) in 2.596036006s; time/op = 102ns
25165824 operations across 30 thread(s) in 2.643486767s; time/op = 104ns
25165824 operations across 31 thread(s) in 2.608682916s; time/op = 103ns
25165824 operations across 32 thread(s) in 2.576888614s; time/op = 101ns
25165824 operations across 33 thread(s) in 2.463463146s; time/op = 97ns
25165824 operations across 34 thread(s) in 2.561953356s; time/op = 101ns
25165824 operations across 35 thread(s) in 2.466931524s; time/op = 97ns
25165824 operations across 36 thread(s) in 2.349423808s; time/op = 92ns
25165824 operations across 37 thread(s) in 2.350542263s; time/op = 92ns
25165824 operations across 38 thread(s) in 2.327960498s; time/op = 92ns
25165824 operations across 39 thread(s) in 2.286188392s; time/op = 90ns
25165824 operations across 40 thread(s) in 2.23054462s; time/op = 88ns
25165824 operations across 41 thread(s) in 2.308761399s; time/op = 91ns
25165824 operations across 42 thread(s) in 2.185321518s; time/op = 86ns
25165824 operations across 43 thread(s) in 2.188514346s; time/op = 86ns
25165824 operations across 44 thread(s) in 2.196925838s; time/op = 86ns
25165824 operations across 45 thread(s) in 2.20971643s; time/op = 87ns
25165824 operations across 46 thread(s) in 2.130893314s; time/op = 84ns
25165824 operations across 47 thread(s) in 2.201062167s; time/op = 86ns
25165824 operations across 48 thread(s) in 2.030218564s; time/op = 80ns
25165824 operations across 49 thread(s) in 2.016948325s; time/op = 79ns
25165824 operations across 50 thread(s) in 2.018029588s; time/op = 79ns
25165824 operations across 51 thread(s) in 1.948087513s; time/op = 76ns
25165824 operations across 52 thread(s) in 2.036941173s; time/op = 80ns
25165824 operations across 53 thread(s) in 2.612423012s; time/op = 103ns
25165824 operations across 54 thread(s) in 1.901466829s; time/op = 74ns
25165824 operations across 55 thread(s) in 2.035509736s; time/op = 80ns
25165824 operations across 56 thread(s) in 1.996994567s; time/op = 78ns
25165824 operations across 57 thread(s) in 1.963561597s; time/op = 77ns
25165824 operations across 58 thread(s) in 1.985482953s; time/op = 78ns
25165824 operations across 59 thread(s) in 2.377749077s; time/op = 94ns
25165824 operations across 60 thread(s) in 1.906087555s; time/op = 75ns
25165824 operations across 61 thread(s) in 1.997251914s; time/op = 78ns
25165824 operations across 62 thread(s) in 1.849934839s; time/op = 72ns
25165824 operations across 63 thread(s) in 1.929000725s; time/op = 75ns
25165824 operations across 64 thread(s) in 1.74282291s; time/op = 68ns
25165824 operations across 65 thread(s) in 1.75333832s; time/op = 68ns
25165824 operations across 66 thread(s) in 1.778782225s; time/op = 69ns
25165824 operations across 67 thread(s) in 1.835836825s; time/op = 72ns
25165824 operations across 68 thread(s) in 1.755875698s; time/op = 69ns
25165824 operations across 69 thread(s) in 1.757198328s; time/op = 69ns
25165824 operations across 70 thread(s) in 1.793323036s; time/op = 70ns
25165824 operations across 71 thread(s) in 1.775157021s; time/op = 69ns
25165824 operations across 72 thread(s) in 1.785876087s; time/op = 70ns
25165824 operations across 73 thread(s) in 1.73971369s; time/op = 68ns
25165824 operations across 74 thread(s) in 1.757101965s; time/op = 69ns
25165824 operations across 75 thread(s) in 1.763337054s; time/op = 69ns
25165824 operations across 76 thread(s) in 1.728176036s; time/op = 67ns
25165824 operations across 77 thread(s) in 1.606002761s; time/op = 63ns
25165824 operations across 78 thread(s) in 1.69324801s; time/op = 66ns
25165824 operations across 79 thread(s) in 1.722400497s; time/op = 67ns
25165824 operations across 80 thread(s) in 1.55163977s; time/op = 60ns
25165824 operations across 81 thread(s) in 1.730164825s; time/op = 68ns
25165824 operations across 82 thread(s) in 1.670253095s; time/op = 65ns
25165824 operations across 83 thread(s) in 1.678059352s; time/op = 65ns
25165824 operations across 84 thread(s) in 1.703483141s; time/op = 66ns
25165824 operations across 85 thread(s) in 1.64645989s; time/op = 64ns
25165824 operations across 86 thread(s) in 1.646696036s; time/op = 64ns
25165824 operations across 87 thread(s) in 1.68439443s; time/op = 66ns
25165824 operations across 88 thread(s) in 1.64440277s; time/op = 64ns
25165824 operations across 89 thread(s) in 1.592073685s; time/op = 62ns
25165824 operations across 90 thread(s) in 1.581229312s; time/op = 62ns
25165824 operations across 91 thread(s) in 1.521087957s; time/op = 59ns
25165824 operations across 92 thread(s) in 1.564257845s; time/op = 61ns
25165824 operations across 93 thread(s) in 1.538426948s; time/op = 60ns
25165824 operations across 94 thread(s) in 1.606033276s; time/op = 63ns
25165824 operations across 95 thread(s) in 1.597670807s; time/op = 62ns
25165824 operations across 96 thread(s) in 1.595816931s; time/op = 62ns
25165824 operations across 97 thread(s) in 1.523302863s; time/op = 59ns
25165824 operations across 98 thread(s) in 1.620580088s; time/op = 63ns
25165824 operations across 99 thread(s) in 1.599112953s; time/op = 62ns
25165824 operations across 100 thread(s) in 1.548014694s; time/op = 60ns
25165824 operations across 101 thread(s) in 1.498159626s; time/op = 58ns
25165824 operations across 102 thread(s) in 1.573503464s; time/op = 61ns
25165824 operations across 103 thread(s) in 1.537607557s; time/op = 60ns
25165824 operations across 104 thread(s) in 1.571798991s; time/op = 61ns
25165824 operations across 105 thread(s) in 1.551835708s; time/op = 60ns
25165824 operations across 106 thread(s) in 1.494761512s; time/op = 58ns
25165824 operations across 107 thread(s) in 1.511840892s; time/op = 59ns
25165824 operations across 108 thread(s) in 1.591572285s; time/op = 62ns
25165824 operations across 109 thread(s) in 1.481147842s; time/op = 58ns
25165824 operations across 110 thread(s) in 1.521845087s; time/op = 59ns
25165824 operations across 111 thread(s) in 1.413134194s; time/op = 55ns
25165824 operations across 112 thread(s) in 1.43805014s; time/op = 56ns
25165824 operations across 113 thread(s) in 1.508259981s; time/op = 59ns
25165824 operations across 114 thread(s) in 1.435487755s; time/op = 56ns
25165824 operations across 115 thread(s) in 2.227106218s; time/op = 88ns
25165824 operations across 116 thread(s) in 1.344453232s; time/op = 52ns
25165824 operations across 117 thread(s) in 1.529083871s; time/op = 60ns
25165824 operations across 118 thread(s) in 1.368804001s; time/op = 53ns
25165824 operations across 119 thread(s) in 1.454609126s; time/op = 57ns
25165824 operations across 120 thread(s) in 1.42330436s; time/op = 55ns
25165824 operations across 121 thread(s) in 1.353429903s; time/op = 53ns
25165824 operations across 122 thread(s) in 1.410978266s; time/op = 55ns
25165824 operations across 123 thread(s) in 1.315036795s; time/op = 51ns
25165824 operations across 124 thread(s) in 1.461646441s; time/op = 57ns
25165824 operations across 125 thread(s) in 1.419780629s; time/op = 55ns
25165824 operations across 126 thread(s) in 1.541213022s; time/op = 60ns
25165824 operations across 127 thread(s) in 1.533609336s; time/op = 60ns
